vmname
USE-SH-DYNQ-0
USE-SH-DYNQ-1
EAS-SH-EYP-0
EAS-SH-WMS-0
USE-SH-ASPN-0
USE-SH-ACAD-0
USE-SH-CCRP-1
USE-SH-CDCM-0
USE-DEV-SHPOC01
USE-SH-DYGP-13
USE-SH-DYGP-14
USE-SH-DYGP-15
USE-SH-DYGP-16
USE-SH-DYGQ-2
USE-SH-DYGQ-3
USE-SH-EMP-0
USE-SH-HYPN-0
USE-SH-HYPN-1
USE-SH-LPIP-6
USE-SH-LPIP-7
USE-SH-MDMP-0
USE-SH-MSVS-0
USE-SH-ORN-0
USE-SH-PENM-4
USE-SH-PENM-5
USE-SH-SAPO-2
USE-SH-SAPO-3
USE-SH-SWFP-0
USE-SH-WRKP-1
WEU-SH-CMS-2
WEU-SH-CMS-3
WEU-SH-COMOS-0
WEU-SH-COMOS-1
WEU-SH-EMPQ-3
WEU-SH-INFL-0
WEU-SH-LPIP-0
WEU-SH-PTT-1
WEU-SH-SHBP-34
WEU-SH-SHBP-35
WEU-SH-SHBP-36
WEU-SH-SHBP-37
WEU-SH-VTXP-0
WEU-SH-VTXP-1
WEU-SH-WDB-2
WEU-SH-WDB-3
USE-SH-ADBP-0
USE-SH-ACDB-0
USE-SH-AITP-0
USE-SH-AITP-1
USE-SH-AITQ-0
USE-SH-DPGP-2
USE-SH-DYNP-1
USE-SH-DYNP-2
USE-SH-DYNP-3
USE-SH-DYNP-8
USE-SH-EBSP-9
USE-SH-EBSP-10
USE-SH-EBSP-11
USE-SH-EBSP-12
USE-SH-EBSP-13
USE-SH-EBSP-14
USE-SH-EBSP-15
WEU-SH-EXPP-0
USE-SH-FIOR-0
USE-SH-HYPQ-0
USE-SH-LPIP-0
USE-QA-LPIGIM
USE-SH-MTZP-0
USE-SH-PVDI-0
USE-SH-SAPT-1
USE-SH-SCIM-3
USE-SH-SCIM-4
USE-SH-SPHP-6
USE-SH-SPHP-7
USE-SH-SPHQ-0
USE-SH-DBVS-0
USE-SH-TPSP-49
USE-SH-TPSP-50
USE-SH-TPSQ-0
USE-SH-TPSQ-1
USE-SH-TRXP-30
USE-SH-TRXP-31
USE-SH-TRXP-32
USE-SH-TRXP-33
USE-SH-TRXP-34
USE-SH-TRXP-35
USE-SH-TRXP-36
USE-SH-TRXP-37
USE-SH-TRXP-38
USE-SH-TRXP-39
USE-SH-S16-0
USE-SH-SPG19-3
USE-SH-SAPT-6
USE-SH-SPT-1
USE-PRD-SAPOCGM
USE-PRD-SAP2016
USE-SH-SAGP-0
USE-SH-SAGP-1
USE-SH-SAGP-2
